11,39,89,0
126,133,139,0
17,28,58,0
134,138,147,0
160,169,176,0
54,85,202,0
131,176,243,0
75,126,205,0
32,76,139,0
214,217,224,0
2,24,74,0
40,85,152,0
187,194,202,0
19,39,89,0
28,45,88,0
53,100,172,0
11,50,129,0
0,18,122,0
72,125,201,0
174,183,192,0
226,226,234,0
144,188,249,0
77,128,207,0
142,183,249,0
141,185,250,0
7,21,48,0
65,120,202,0
63,115,191,0
148,186,251,0
1,0,0,0
124,168,233,0
125,133,144,0
232,231,237,0
56,102,177,0
177,184,194,0
60,107,177,0
230,229,234,0
4,29,145,0
177,184,192,0
183,190,198,0
8,16,62,0
121,168,238,0
147,180,247,0
231,230,238,0
15,27,99,0
69,121,197,0
5,26,135,0
136,174,237,0
1,4,49,0
49,89,158,0
17,56,131,0
136,177,241,0
1,4,13,0
14,49,115,0
126,169,237,0
0,17,135,0
63,115,191,0
82,133,214,0
14,34,84,0
130,171,235,0
16,36,87,0
33,68,132,0
0,0,2,0
123,168,236,0
0,5,79,0
17,42,98,0
191,195,204,0
15,30,61,0
27,70,123,0
2,5,12,0
150,158,161,0
129,172,240,0
6,17,83,0
21,58,111,0
116,165,232,0
12,26,61,0
92,143,222,0
9,24,57,0
17,46,172,0
148,188,250,0
114,163,232,0
175,174,180,0
145,183,248,0
140,145,151,0
13,52,173,0
9,21,45,0
12,41,101,0
50,99,168,0
237,236,242,0
231,230,236,0
123,163,233,0
7,22,107,0
9,36,179,0
3,15,101,0
93,140,220,0
18,40,89,0
5,12,38,0
17,26,57,0
14,30,117,0
101,153,226,0
148,157,166,0
147,187,249,0
22,44,94,0
44,89,157,0
181,188,196,0
62,115,191,0
232,231,236,0
19,48,106,0
118,165,237,0
146,187,253,0
15,22,32,0
65,114,191,0
3,14,59,0
98,145,223,0
229,228,234,0
129,170,236,0
158,165,175,0
144,183,248,0
138,177,246,0
238,237,243,0
218,218,226,0
75,127,202,0
4,15,60,0
114,164,237,0
115,164,233,0
31,61,123,0
5,24,126,0
3,13,40,0
7,19,71,0
1,34,101,0
99,147,223,0
233,232,240,0
11,50,119,0
231,230,238,0
20,43,157,0
226,225,230,0
9,34,90,0
104,112,123,0
133,174,240,0
233,234,239,0
95,133,198,0
217,216,224,0
226,225,231,0
8,23,82,0
96,145,214,0
30,56,166,0
4,31,162,0
42,90,162,0
0,0,2,0
19,40,93,0
140,181,247,0
2,15,117,0
17,33,67,0
156,161,167,0
0,12,101,0
5,24,152,0
116,164,238,0
1,9,72,0
117,166,235,0
14,26,48,0
60,109,185,0
7,25,63,0
233,232,238,0
218,216,203,0
135,176,242,0
232,231,237,0
144,154,163,0
0,1,2,0
19,40,93,0
231,230,236,0
176,185,192,0
0,21,139,0
38,85,155,0
103,155,228,0
54,106,179,0
10,33,135,0
16,37,92,0
124,167,235,0
144,182,247,0
6,16,65,0
17,28,56,0
5,25,172,0
231,230,236,0
94,143,219,0
121,165,228,0
231,230,236,0
8,20,94,0
121,128,134,0
92,139,221,0
236,235,243,0
228,227,233,0
91,140,217,0
1,0,2,0
76,124,198,0
157,162,168,0
230,229,235,0
128,135,141,0
7,33,170,0
0,13,118,0
19,39,90,0
181,190,199,0
175,184,193,0
0,29,154,0
13,42,100,0
15,37,86,0
82,134,207,0
229,227,232,0
85,137,212,0
235,234,240,0
21,58,138,0
3,5,26,0
148,183,249,0
232,231,237,0
234,233,239,0
112,165,235,0
94,145,224,0
3,9,57,0
8,31,135,0
11,29,65,0
56,90,241,0
219,218,223,0
104,150,225,0
218,216,203,0
104,152,226,0
7,45,120,0
140,181,247,0
134,173,240,0
10,30,67,0
14,35,80,0
228,227,233,0
28,62,125,0
85,133,217,0
149,188,253,0
18,39,86,0
59,106,174,0
89,141,225,0
86,131,198,0
231,230,236,0
132,173,237,0
23,46,96,0
12,23,51,0
188,195,203,0
81,128,196,0
9,22,77,0
141,182,248,0
230,229,235,0
14,35,78,0
131,138,144,0
137,180,248,0
116,164,236,0
230,229,235,0
0,0,5,0
147,185,250,0
127,174,246,0
195,189,191,0
3,10,62,0
21,47,96,0
1,7,57,0
134,179,246,0
231,230,238,0
112,159,229,0
16,26,53,0
108,156,228,0
153,192,251,0
18,45,162,0
3,11,34,0
90,132,208,0
15,23,44,0
141,184,252,0
7,17,66,0
0,8,73,0
150,157,165,0
231,231,233,0
1,16,73,0
22,48,158,0
2,16,89,0
77,125,209,0
4,30,175,0
186,193,201,0
16,36,86,0
129,174,239,0
230,229,235,0
91,134,202,0
10,31,74,0
97,149,225,0
98,142,215,0
211,211,219,0
11,29,67,0
148,157,164,0
81,130,207,0
219,218,224,0
232,231,237,0
8,40,163,0
98,146,228,0
62,114,189,0
66,121,211,0
117,167,238,0
233,232,238,0
124,169,237,0
3,15,89,0
81,134,210,0
27,69,127,0
91,138,208,0
2,5,14,0
89,129,201,0
175,182,192,0
16,43,194,0
117,164,232,0
7,22,79,0
15,36,81,0
138,177,244,0
95,142,224,0
79,129,198,0
14,31,74,0
208,208,216,0
132,175,243,0
138,178,248,0
35,65,179,0
109,148,213,0
113,162,229,0
6,7,25,0
19,48,114,0
15,59,216,0
3,24,129,0
208,207,215,0
64,112,184,0
143,184,248,0
1,0,0,0
148,188,250,0
11,27,60,0
132,179,249,0
131,136,142,0
86,141,221,0
232,231,237,0
10,40,100,0
12,28,62,0
162,161,167,0
39,84,151,0
111,160,229,0
0,0,4,0
0,4,18,0
8,30,71,0
202,201,207,0
77,128,207,0
11,53,129,0
126,170,235,0
85,137,221,0
6,15,46,0
35,76,132,0
0,16,122,0
17,36,94,0
0,1,0,0
131,172,238,0
129,174,242,0
120,163,231,0
12,38,97,0
227,226,232,0
0,0,2,0
235,234,240,0
72,125,205,0
1,2,4,0
228,228,236,0
226,225,231,0
177,184,192,0
217,216,222,0
